iter	Passed	Remaining
0	2	2289
1	2	1387
2	3	1059
3	3	977
4	4	889
5	6	1122
6	7	1119
7	9	1138
8	10	1146
9	11	1137
10	12	1135
11	13	1129
12	14	1130
13	15	1086
14	15	1047
15	17	1049
16	18	1050
17	19	1054
18	20	1064
19	21	1070
20	23	1080
21	24	1076
22	25	1069
23	26	1067
24	28	1097
25	29	1122
26	31	1135
27	33	1153
28	35	1176
29	36	1193
30	38	1195
31	39	1191
32	40	1190
33	41	1182
34	43	1188
35	44	1197
36	46	1200
37	47	1202
38	49	1211
39	50	1210
40	51	1210
41	53	1230
42	55	1244
43	57	1246
44	58	1245
45	60	1253
46	61	1254
47	63	1255
48	65	1266
49	67	1280
50	68	1283
51	70	1284
52	71	1274
53	72	1276
54	74	1273
55	75	1269
56	76	1266
57	77	1256
58	78	1255
59	81	1270
60	82	1275
61	85	1287
62	85	1275
63	87	1275
64	88	1272
65	89	1271
66	91	1267
67	92	1267
68	94	1268
69	95	1266
70	97	1269
71	98	1266
72	99	1265
73	100	1261
74	101	1257
75	103	1261
76	105	1269
77	107	1271
78	108	1259
79	109	1257
80	110	1256
81	111	1252
82	113	1253
83	115	1254
84	116	1258
85	118	1255
86	119	1257
87	121	1256
88	122	1255
89	124	1255
90	125	1250
91	127	1255
92	128	1258
93	130	1257
94	132	1257
95	133	1257
96	135	1258
97	136	1257
98	138	1256
99	139	1252
100	141	1257
101	142	1256
102	143	1253
103	145	1256
104	147	1257
105	149	1257
106	150	1258
107	152	1256
108	153	1255
109	155	1254
110	156	1253
111	156	1243
112	158	1243
113	159	1241
114	160	1238
115	162	1237
116	163	1235
117	165	1238
118	167	1238
119	169	1239
120	170	1239
121	172	1239
122	173	1240
123	175	1240
124	177	1241
125	179	1242
126	180	1241
127	182	1241
128	183	1238
129	184	1237
130	186	1235
131	186	1227
132	188	1228
133	189	1224
134	191	1224
135	191	1217
136	193	1217
137	194	1215
138	195	1211
139	197	1211
140	198	1210
141	199	1206
142	201	1207
143	202	1206
144	203	1199
145	204	1197
146	206	1197
147	207	1196
148	209	1198
149	211	1198
150	212	1196
151	214	1194
152	215	1194
153	216	1189
154	217	1188
155	219	1186
156	220	1183
157	222	1184
158	224	1187
159	226	1187
160	227	1184
161	228	1182
162	229	1180
163	231	1180
164	233	1181
165	235	1182
166	237	1183
167	238	1182
168	240	1184
169	241	1180
170	244	1185
171	246	1187
172	247	1183
173	249	1183
174	250	1181
175	252	1181
176	254	1182
177	255	1180
178	257	1179
179	258	1175
180	258	1169
181	260	1169
182	262	1170
183	263	1170
184	265	1170
185	267	1168
186	268	1167
187	270	1169
188	272	1168
189	273	1166
190	275	1166
191	277	1165
192	278	1166
193	280	1164
194	281	1164
195	283	1161
196	283	1156
197	286	1158
198	287	1157
199	289	1157
200	291	1157
201	292	1157
202	294	1155
203	295	1154
204	297	1153
205	299	1155
206	300	1150
207	301	1149
208	303	1149
209	305	1149
210	307	1149
211	307	1144
212	309	1143
213	311	1142
214	312	1141
215	314	1141
216	316	1140
217	317	1139
218	319	1140
219	321	1140
220	322	1137
221	324	1136
222	325	1134
223	327	1135
224	329	1135
225	331	1133
226	332	1132
227	334	1133
228	336	1133
229	338	1133
230	340	1132
231	341	1131
232	343	1130
233	345	1131
234	346	1129
235	348	1127
236	349	1126
237	351	1124
238	352	1122
239	354	1121
240	355	1120
241	357	1119
242	359	1119
243	360	1118
244	362	1116
245	364	1115
246	365	1114
247	367	1113
248	368	1112
249	370	1111
250	371	1109
251	374	1110
252	375	1109
253	377	1108
254	379	1107
255	380	1106
256	382	1105
257	383	1104
258	385	1103
259	387	1102
260	389	1104
261	392	1105
262	393	1103
263	395	1101
264	396	1100
265	398	1099
266	399	1097
267	401	1096
268	402	1094
269	404	1094
270	405	1091
271	407	1091
272	409	1090
273	412	1091
274	413	1091
275	415	1089
276	417	1088
277	419	1088
278	421	1089
279	423	1087
280	425	1087
281	426	1086
282	428	1086
283	430	1085
284	431	1083
285	432	1080
286	434	1078
287	435	1076
288	437	1076
289	439	1075
290	440	1073
291	443	1074
292	445	1075
293	447	1073
294	448	1072
295	450	1071
296	452	1070
297	453	1069
298	455	1067
299	456	1065
300	458	1065
301	460	1065
302	462	1064
303	465	1064
304	466	1063
305	467	1061
306	469	1059
307	470	1057
308	472	1056
309	473	1055
310	475	1054
311	477	1053
312	479	1051
313	481	1051
314	482	1049
315	484	1048
316	486	1048
317	488	1047
318	489	1045
319	491	1043
320	492	1042
321	494	1041
322	496	1040
323	498	1039
324	499	1038
325	501	1037
326	503	1037
327	505	1035
328	507	1034
329	508	1032
330	510	1031
331	511	1029
332	513	1028
333	514	1026
334	516	1024
335	517	1023
336	519	1021
337	520	1019
338	522	1018
339	524	1018
340	526	1017
341	528	1017
342	530	1016
343	532	1014
344	534	1014
345	536	1013
346	537	1012
347	539	1009
348	540	1008
349	542	1007
350	543	1005
351	545	1003
352	548	1004
353	550	1004
354	552	1003
355	554	1002
356	555	1000
357	557	999
358	558	997
359	560	995
360	561	994
361	563	993
362	565	992
363	566	989
364	568	988
365	571	989
366	572	987
367	573	985
368	575	984
369	578	984
370	580	983
371	581	981
372	582	979
373	584	978
374	585	975
375	587	974
376	589	973
377	591	972
378	592	971
379	595	971
380	597	970
381	599	970
382	601	969
383	603	967
384	605	966
385	607	966
386	609	965
387	611	963
388	613	962
389	615	962
390	616	960
391	618	959
392	620	958
393	622	956
394	623	955
395	625	954
396	627	952
397	628	951
398	630	949
399	632	948
400	633	946
401	635	945
402	637	944
403	638	942
404	639	940
405	641	938
406	642	936
407	644	935
408	646	933
409	648	932
410	650	931
411	652	930
412	653	929
413	655	927
414	657	926
415	658	924
416	660	923
417	662	922
418	663	920
419	665	919
420	667	917
421	668	915
422	669	913
423	671	912
424	673	911
425	675	909
426	677	909
427	678	907
428	680	905
429	682	904
430	683	902
431	685	901
432	688	901
433	690	900
434	691	898
435	693	896
436	694	895
437	696	893
438	698	892
439	700	891
440	701	889
441	703	888
442	704	886
443	707	885
444	709	884
445	711	883
446	712	881
447	714	879
448	715	878
449	718	877
450	720	876
451	721	874
452	722	872
453	723	870
454	725	868
455	727	867
456	729	866
457	731	865
458	732	863
459	734	861
460	735	860
461	737	858
462	738	856
463	740	855
464	741	853
465	743	851
466	744	849
467	746	848
468	747	846
469	749	845
470	752	844
471	753	843
472	755	841
473	757	840
474	759	838
475	760	837
476	761	835
477	763	833
478	764	831
479	766	830
480	767	828
481	768	826
482	770	824
483	772	823
484	773	821
485	774	819
486	776	818
487	777	816
488	779	814
489	781	813
490	783	812
491	785	811
492	786	809
493	788	807
494	790	806
495	792	805
496	794	804
497	796	803
498	798	801
499	799	799
500	801	797
501	803	796
502	804	794
503	806	793
504	807	791
505	809	790
506	810	788
507	812	787
508	814	785
509	816	784
510	818	783
511	820	782
512	821	780
513	823	778
514	825	777
515	827	775
516	828	774
517	830	772
518	831	770
519	833	769
520	835	767
521	836	766
522	838	764
523	839	762
524	840	760
525	842	759
526	844	758
527	846	756
528	847	754
529	849	753
530	852	752
531	854	751
532	855	749
533	856	747
534	858	746
535	860	744
536	861	743
537	863	741
538	865	740
539	867	738
540	868	737
541	871	736
542	872	734
543	874	733
544	876	731
545	878	730
546	880	729
547	881	727
548	883	725
549	885	724
550	886	722
551	888	720
552	890	719
553	892	718
554	893	716
555	895	714
556	896	713
557	898	711
558	900	710
559	901	708
560	903	707
561	905	705
562	907	704
563	909	703
564	911	701
565	913	700
566	914	698
567	916	696
568	917	695
569	919	693
570	921	692
571	923	690
572	924	689
573	926	687
574	928	686
575	929	684
576	931	682
577	933	681
578	935	679
579	936	678
580	937	676
581	939	674
582	941	673
583	942	671
584	944	669
585	945	668
586	947	666
587	948	664
588	950	663
589	952	661
590	953	659
591	955	658
592	957	657
593	959	655
594	960	653
595	962	652
596	964	651
597	966	649
598	968	648
599	970	646
600	971	645
601	973	643
602	975	642
603	977	640
604	978	639
605	980	637
606	982	635
607	984	634
608	985	632
609	987	631
610	988	629
611	990	628
612	992	626
613	994	625
614	995	623
615	997	621
616	999	620
617	1001	618
618	1003	617
619	1004	615
620	1006	614
621	1008	612
622	1010	611
623	1011	609
624	1013	608
625	1015	606
626	1017	605
627	1018	603
628	1020	602
629	1022	600
630	1024	599
631	1026	597
632	1028	596
633	1029	594
634	1030	592
635	1032	590
636	1034	589
637	1035	587
638	1037	586
639	1039	584
640	1041	583
641	1043	581
642	1045	580
643	1047	579
644	1049	577
645	1051	576
646	1052	574
647	1054	572
648	1055	570
649	1056	569
650	1057	567
651	1059	565
652	1061	564
653	1063	562
654	1064	560
655	1066	559
656	1068	557
657	1069	556
658	1071	554
659	1073	552
660	1075	551
661	1076	549
662	1079	548
663	1080	546
664	1082	545
665	1084	543
666	1086	542
667	1087	540
668	1089	538
669	1090	537
670	1091	535
671	1093	533
672	1095	532
673	1096	530
674	1098	528
675	1099	527
676	1101	525
677	1103	524
678	1104	522
679	1106	520
680	1108	519
681	1109	517
682	1111	515
683	1113	514
684	1114	512
685	1116	511
686	1118	509
687	1120	507
688	1121	506
689	1122	504
690	1124	502
691	1126	501
692	1127	499
693	1129	497
694	1131	496
695	1132	494
696	1134	493
697	1136	491
698	1138	490
699	1140	488
700	1142	487
701	1144	485
702	1146	484
703	1147	482
704	1149	480
705	1150	479
706	1151	477
707	1153	475
708	1154	474
709	1156	472
710	1157	470
711	1158	468
712	1160	467
713	1162	465
714	1163	463
715	1165	462
716	1166	460
717	1167	458
718	1169	457
719	1171	455
720	1173	454
721	1175	452
722	1177	451
723	1179	449
724	1180	447
725	1182	446
726	1183	444
727	1185	442
728	1187	441
729	1188	439
730	1190	437
731	1192	436
732	1193	434
733	1195	433
734	1197	431
735	1199	430
736	1201	428
737	1203	427
738	1205	425
739	1207	424
740	1208	422
741	1210	420
742	1212	419
743	1214	417
744	1215	416
745	1216	414
746	1218	412
747	1220	411
748	1222	409
749	1224	408
750	1226	406
751	1228	405
752	1229	403
753	1230	401
754	1232	399
755	1233	398
756	1235	396
757	1236	394
758	1238	393
759	1240	391
760	1241	390
761	1243	388
762	1245	386
763	1247	385
764	1249	383
765	1250	382
766	1252	380
767	1253	378
768	1255	377
769	1256	375
770	1258	373
771	1259	372
772	1260	370
773	1262	368
774	1264	367
775	1266	365
776	1267	363
777	1269	362
778	1271	360
779	1273	359
780	1274	357
781	1276	355
782	1278	354
783	1280	352
784	1282	351
785	1284	349
786	1285	348
787	1287	346
788	1288	344
789	1290	343
790	1292	341
791	1293	339
792	1295	338
793	1296	336
794	1298	334
795	1300	333
796	1302	331
797	1305	330
798	1306	328
799	1308	327
800	1310	325
801	1311	323
802	1313	322
803	1315	320
804	1317	319
805	1319	317
806	1321	316
807	1323	314
808	1325	312
809	1326	311
810	1328	309
811	1330	308
812	1332	306
813	1334	304
814	1336	303
815	1338	301
816	1339	300
817	1341	298
818	1343	297
819	1345	295
820	1347	293
821	1348	292
822	1350	290
823	1351	288
824	1353	287
825	1355	285
826	1357	283
827	1358	282
828	1360	280
829	1362	278
830	1364	277
831	1365	275
832	1368	274
833	1369	272
834	1371	271
835	1373	269
836	1374	267
837	1376	266
838	1377	264
839	1379	262
840	1380	261
841	1383	259
842	1385	257
843	1386	256
844	1389	254
845	1390	253
846	1392	251
847	1393	249
848	1395	248
849	1397	246
850	1399	244
851	1401	243
852	1403	241
853	1405	240
854	1406	238
855	1408	236
856	1409	235
857	1412	233
858	1413	232
859	1415	230
860	1417	228
861	1420	227
862	1421	225
863	1423	224
864	1425	222
